iter	RMSE
0	661.1536711
1	620.4323033
2	582.5732556
3	549.7860984
4	524.6270433
5	501.0664661
6	475.8969766
7	452.933739
8	431.5402445
9	413.2820765
10	398.5810121
11	385.4197872
12	372.3523674
13	361.5689867
14	348.6258786
15	339.1082974
16	331.0047399
17	322.7643481
18	315.6371011
19	309.7614437
20	304.6145594
21	299.6441963
22	294.3053394
23	289.8732566
24	285.8981169
25	281.2806156
26	276.9233671
27	274.5770801
28	271.6219559
29	269.0213772
30	266.4640591
31	263.9326286
32	261.1060447
33	257.7901428
34	255.6364342
35	254.5298624
36	252.7089641
37	251.6142341
38	250.6393848
39	249.8339094
40	248.3391101
41	246.4608009
42	245.7257048
43	244.461006
44	243.3439403
45	241.4238802
46	240.8435839
47	240.024721
48	238.7185751
49	237.4409977
50	236.4726815
51	235.8089595
52	235.0198402
53	234.0449988
54	233.3262197
55	232.9272051
56	232.4387599
57	231.9943811
58	231.6346948
59	229.9872356
60	228.9486601
61	228.0288281
62	227.4024531
63	226.642687
64	226.1295611
65	225.5202109
66	225.1890997
67	224.9107005
68	224.2061242
69	223.7239358
70	223.0845836
71	222.8643374
72	221.9108533
73	221.3674376
74	220.6662086
75	219.8977322
76	219.7987338
77	218.7163421
78	218.4901859
79	217.7190539
80	216.9392238
81	215.9235191
82	214.8611215
83	214.0730752
84	213.2589257
85	212.6519917
86	212.1518412
87	211.6531012
88	211.1361226
89	210.987532
90	209.9112555
91	209.4269663
92	208.4646495
93	208.2150642
94	208.0234913
95	207.4790417
96	207.2587227
97	207.0594572
98	206.4205508
99	206.1638263
