iter	Passed	Remaining
0	1	131
1	2	123
2	3	119
3	4	115
4	5	113
5	7	111
6	8	111
7	9	112
8	11	115
9	13	117
10	14	118
11	15	115
12	16	113
13	18	111
14	19	109
15	20	107
16	21	106
17	22	103
18	24	102
19	25	101
20	27	102
21	28	101
22	29	100
23	31	98
24	32	96
25	33	94
26	34	93
27	35	90
28	36	89
29	37	87
30	38	86
31	40	85
32	41	83
33	42	82
34	43	81
35	45	80
36	47	80
37	48	79
38	50	78
39	51	76
40	52	75
41	53	73
42	54	72
43	55	70
44	57	70
45	59	69
46	60	68
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	60
53	68	58
54	70	57
55	71	55
56	72	54
57	74	53
58	75	52
59	77	51
60	78	50
61	79	48
62	80	47
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	100	25
80	102	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	111	15
88	112	13
89	113	12
90	115	11
91	117	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	125	2
98	126	1
99	127	0
