iter	Passed	Remaining
0	2	3193
1	3	2882
2	5	2780
3	7	2694
4	9	2762
5	11	2837
6	13	2926
7	16	2996
8	18	3025
9	20	2983
10	21	2935
11	23	2906
12	25	2920
13	27	2924
14	29	2965
15	31	2914
16	33	2895
17	35	2899
18	37	2886
19	39	2888
20	40	2886
21	43	2951
22	49	3147
23	52	3214
24	54	3191
25	56	3178
26	58	3214
27	61	3243
28	63	3237
29	66	3243
30	68	3225
31	69	3197
32	71	3169
33	73	3177
34	76	3189
35	78	3184
36	80	3171
37	81	3154
38	83	3134
39	85	3119
40	87	3116
41	89	3122
42	92	3131
43	94	3131
44	96	3121
45	98	3112
46	100	3100
47	102	3094
48	104	3104
49	107	3106
50	108	3096
51	110	3087
52	112	3071
53	114	3055
54	115	3045
55	119	3069
56	122	3093
57	126	3155
58	129	3169
59	131	3155
60	133	3143
61	136	3167
62	139	3175
63	141	3172
64	143	3161
65	144	3146
66	146	3137
67	149	3154
68	151	3149
69	154	3146
70	155	3136
71	158	3143
72	160	3133
73	162	3122
74	164	3123
75	167	3133
76	169	3141
77	172	3140
78	173	3127
79	175	3114
80	177	3107
81	179	3109
82	182	3116
83	184	3112
84	186	3112
85	189	3110
86	190	3100
87	192	3091
88	194	3089
89	197	3090
90	199	3087
91	201	3083
92	203	3071
93	205	3067
94	207	3065
95	210	3073
96	213	3085
97	216	3091
98	218	3087
99	220	3081
100	222	3078
101	225	3088
102	228	3098
103	230	3094
104	232	3091
105	235	3096
106	237	3090
107	241	3108
108	243	3109
109	246	3111
110	248	3104
111	250	3100
112	251	3091
113	253	3085
114	257	3099
115	260	3105
116	262	3100
117	264	3093
118	265	3085
119	267	3079
120	271	3093
121	275	3109
122	277	3105
123	279	3096
124	281	3094
125	283	3087
126	285	3084
127	288	3088
128	290	3089
129	292	3082
130	294	3075
131	296	3068
132	297	3061
133	301	3069
134	304	3074
135	306	3071
136	308	3065
137	309	3059
138	311	3053
139	313	3047
140	316	3050
141	319	3052
142	321	3053
143	323	3047
144	325	3042
145	327	3036
146	329	3034
147	333	3042
148	335	3043
149	337	3038
150	339	3032
151	340	3017
152	342	3011
153	343	3005
154	346	3004
155	348	3001
156	350	2994
157	351	2989
158	353	2985
159	356	2983
160	358	2978
161	360	2974
162	363	2982
163	366	2983
164	368	2977
165	369	2972
166	371	2967
167	373	2962
168	375	2959
169	378	2963
170	381	2961
171	382	2957
172	384	2952
173	386	2948
174	388	2943
175	390	2939
176	394	2946
177	396	2946
178	398	2940
179	400	2937
180	402	2932
181	404	2927
182	406	2925
183	409	2927
184	411	2924
185	413	2918
186	415	2914
187	416	2909
188	418	2905
189	420	2902
190	423	2905
191	426	2902
192	428	2898
193	429	2893
194	431	2888
195	433	2884
196	435	2879
197	437	2879
198	439	2876
199	441	2872
200	444	2869
201	446	2868
202	448	2862
203	449	2858
204	452	2856
205	455	2858
206	458	2860
207	459	2856
208	461	2853
209	463	2848
210	466	2847
211	468	2847
212	471	2846
213	473	2842
214	475	2840
215	477	2837
216	479	2836
217	481	2833
218	485	2837
219	487	2837
220	490	2840
221	492	2836
222	494	2834
223	496	2830
224	500	2834
225	502	2832
226	504	2828
227	506	2824
228	508	2821
229	510	2818
230	513	2820
231	516	2824
232	518	2822
233	521	2818
234	523	2818
235	526	2820
236	530	2825
237	532	2823
238	534	2822
239	537	2819
240	539	2815
241	541	2813
242	544	2814
243	547	2817
244	549	2816
245	551	2812
246	553	2808
247	555	2805
248	558	2804
249	561	2806
250	563	2805
251	566	2804
252	568	2800
253	570	2797
254	572	2793
255	574	2792
256	578	2797
257	580	2792
258	582	2788
259	584	2785
260	586	2782
261	588	2780
262	590	2779
263	594	2782
264	596	2780
265	598	2777
266	600	2773
267	602	2769
268	604	2768
269	608	2770
270	610	2766
271	612	2764
272	614	2760
273	616	2758
274	619	2757
275	622	2759
276	624	2756
277	626	2754
278	628	2751
279	630	2747
280	632	2744
281	635	2744
282	639	2749
283	641	2748
284	643	2744
285	645	2741
286	648	2739
287	651	2741
288	653	2739
289	655	2736
290	657	2732
291	659	2729
292	661	2727
293	664	2724
294	666	2723
295	669	2721
296	670	2717
297	672	2713
298	674	2709
299	676	2706
300	678	2702
301	680	2700
302	683	2700
303	685	2698
304	687	2694
305	689	2690
306	691	2687
307	693	2684
308	696	2683
309	698	2681
310	700	2677
311	702	2673
312	704	2670
313	706	2667
314	708	2663
315	710	2661
316	712	2660
317	715	2657
318	716	2653
319	718	2650
320	720	2646
321	722	2643
322	724	2640
323	727	2638
324	729	2636
325	731	2633
326	733	2629
327	734	2626
328	736	2622
329	738	2620
330	741	2619
331	745	2621
332	747	2618
333	749	2615
334	751	2612
335	753	2608
336	755	2606
337	757	2604
338	759	2602
339	761	2599
340	763	2595
341	765	2592
342	767	2589
343	769	2586
344	772	2584
345	774	2584
346	777	2582
347	779	2579
348	781	2576
349	783	2573
350	785	2571
351	788	2570
352	790	2567
353	792	2564
354	793	2560
355	796	2557
356	798	2555
357	800	2553
358	803	2552
359	805	2550
360	807	2547
361	809	2544
362	811	2541
363	813	2537
364	815	2534
365	817	2532
366	819	2531
367	821	2527
368	823	2524
369	825	2521
370	827	2518
371	829	2515
372	832	2513
373	834	2512
374	836	2510
375	838	2507
376	840	2503
377	842	2500
378	844	2497
379	846	2495
380	848	2493
381	851	2491
382	853	2488
383	855	2485
384	857	2482
385	859	2479
386	861	2477
387	863	2475
388	866	2473
389	868	2471
390	870	2467
391	871	2464
392	873	2461
393	875	2457
394	877	2455
395	880	2453
396	882	2451
397	884	2448
398	886	2444
399	887	2441
400	889	2439
401	892	2436
402	894	2434
403	896	2432
404	898	2429
405	900	2426
406	902	2423
407	905	2423
408	908	2423
409	911	2422
410	914	2422
411	916	2420
412	919	2419
413	921	2418
414	924	2416
415	926	2414
416	929	2413
417	931	2411
418	933	2407
419	935	2404
420	937	2403
421	940	2401
422	942	2398
423	943	2395
424	945	2391
425	947	2388
426	949	2385
427	951	2382
428	953	2380
429	955	2378
430	957	2375
431	959	2370
432	960	2367
433	962	2364
434	964	2361
435	966	2359
436	969	2357
437	971	2354
438	973	2351
439	974	2348
440	976	2345
441	978	2342
442	980	2339
443	982	2337
444	985	2335
445	987	2332
446	988	2329
447	990	2326
448	992	2323
449	994	2320
450	996	2317
451	998	2315
452	1000	2312
453	1002	2309
454	1004	2306
455	1006	2304
456	1008	2301
457	1010	2298
458	1012	2295
459	1015	2295
460	1017	2292
461	1019	2290
462	1021	2287
463	1023	2284
464	1025	2281
465	1027	2279
466	1029	2277
467	1032	2276
468	1034	2273
469	1036	2270
470	1038	2269
471	1041	2268
472	1047	2275
473	1050	2274
474	1053	2272
475	1057	2275
476	1061	2275
477	1065	2278
478	1071	2283
479	1080	2295
480	1083	2296
481	1086	2294
482	1089	2294
483	1094	2298
484	1098	2299
485	1102	2299
486	1107	2303
487	1111	2305
488	1114	2303
489	1118	2304
490	1120	2302
491	1122	2299
492	1126	2301
493	1130	2301
494	1136	2306
495	1138	2304
496	1146	2313
497	1152	2319
498	1155	2318
499	1160	2320
500	1164	2322
501	1167	2320
502	1172	2323
503	1174	2321
504	1177	2319
505	1180	2318
506	1182	2316
507	1186	2316
508	1191	2320
509	1198	2326
510	1203	2328
511	1206	2327
512	1211	2331
513	1215	2331
514	1219	2331
515	1225	2337
516	1230	2339
517	1234	2341
518	1238	2341
519	1243	2344
520	1247	2344
521	1251	2345
522	1259	2352
523	1263	2354
524	1266	2351
525	1274	2360
