iter	RMSE
0	660.1768654
1	621.2636201
2	586.5313073
3	553.0943775
4	521.0000357
5	492.1065649
6	469.2610208
7	449.2297611
8	431.1803996
9	413.2989537
10	396.8384009
11	379.9917147
12	366.0418856
13	354.0861169
14	344.6540362
15	335.7018473
16	326.3738656
17	319.0914016
18	313.0761941
19	305.3901188
20	300.1866042
21	296.0988233
22	291.4985455
23	286.503788
24	281.9904094
25	278.2989746
26	274.636758
27	273.3102799
28	271.0788233
29	268.851333
30	266.3560006
31	263.8710726
32	261.678259
33	260.1066008
34	258.7564641
35	256.8097581
36	254.691862
37	253.2350481
38	252.013364
39	251.1953183
40	250.5001354
41	249.5545669
42	248.4011835
43	247.7180448
44	246.038051
45	244.6837972
46	243.7388953
47	242.2388054
48	241.8104763
49	241.0234652
50	240.0987974
51	239.1819161
52	238.5831272
53	238.2258283
54	237.6744831
55	236.9308269
56	235.6913972
57	235.3013521
58	233.8150301
59	233.082079
60	232.0817708
61	231.0212422
62	229.7399698
63	229.5370565
64	228.4295939
65	228.0517912
66	227.6488069
67	226.7761053
68	226.5248399
69	225.0332922
70	223.7748974
71	223.3460291
72	222.4876264
73	221.2412931
74	220.9800668
75	220.7962023
76	219.5841308
77	219.0557487
78	218.036181
79	217.6010154
80	216.8533577
81	216.5478782
82	216.0678779
83	215.8851111
84	215.0619771
85	214.5292383
86	213.6660569
87	213.2661316
88	213.1100007
89	212.7074924
90	211.4561797
91	211.0464062
92	210.4870303
93	209.8727808
94	208.9250082
95	207.9518172
96	207.4675076
97	206.8818352
98	206.6071209
99	205.8870803
