id,Inches,Ram,Weight,Price_euros,Resolution_disc,Pantalla_disc,Family_disc,Clock_speed_disc,Modelo_procesador_disc,Gpu_Brand_disc,GPU_model_disc,storage_type_disc
268,15.6,8,2.36,749.0,0,1,3,4,4,0,2,1
347,15.6,4,2.0,449.0,0,1,0,0,0,1,0,1
353,13.3,8,1.2,1460.0,3,1,2,3,3,1,2,3
578,15.6,16,4.42,2868.99,9,4,3,6,6,2,10,3
42,12.5,8,1.26,1713.37,3,1,2,1,4,1,2,3
867,15.6,12,2.26,1099.0,3,1,3,4,4,2,3,3
1136,15.6,4,2.0,415.0,3,1,1,0,0,1,2,3
609,15.6,8,2.4,1142.8,3,1,3,6,6,2,3,3
474,14.0,8,1.3,1193.0,3,1,3,4,4,2,2,3
838,15.6,16,2.5,1600.0,3,1,3,6,6,2,4,3
851,15.6,4,2.65,309.0,0,1,0,1,0,1,0,1
904,15.6,8,2.02,855.0,3,1,3,3,3,1,2,3
355,15.6,8,2.2,1119.0,0,1,2,3,3,1,2,3
44,15.6,6,1.95,649.0,3,1,1,0,1,0,1,3
36,14.0,4,1.75,499.0,0,1,0,0,0,1,0,3
971,15.6,8,1.88,1096.16,3,1,2,1,2,1,2,3
938,14.0,4,1.74,629.0,3,1,1,1,0,1,2,3
718,15.6,6,2.23,549.0,0,1,2,2,2,1,2,1
518,15.6,32,2.5,4899.0,9,4,4,8,12,2,12,3
1126,17.3,8,3.0,854.0,3,1,2,1,2,2,2,3
51,10.1,4,0.69,646.27,0,0,0,0,0,1,0,0
772,17.3,6,2.71,655.01,3,1,2,2,1,0,1,1
1001,12.5,8,1.26,1389.0,0,1,2,6,4,1,2,3
330,17.3,16,3.35,1379.0,3,1,3,6,6,2,3,3
66,15.6,8,1.78,2712.0,9,4,3,6,6,2,8,3
829,15.6,4,2.0,389.0,3,1,1,0,0,1,2,1
1129,15.6,4,2.4,559.0,0,1,2,2,2,1,2,1
1197,15.6,6,2.4,695.0,3,1,2,2,2,2,1,3
171,15.6,4,2.2,306.0,0,1,0,0,0,1,0,1
233,14.0,8,1.95,980.0,3,1,2,2,2,1,2,3
205,15.6,8,2.13,728.0,3,1,2,1,2,0,1,3
361,15.6,8,2.5,1265.0,3,1,3,6,6,2,4,3
1250,15.6,8,2.32,895.0,3,1,3,2,4,0,1,2
707,15.6,4,2.18,614.0,0,1,1,0,0,0,0,1
884,15.6,4,2.2,359.0,3,1,0,0,0,1,0,0
1071,15.6,6,2.2,597.57,3,1,2,0,0,0,1,3
95,15.6,4,2.2,369.0,0,1,0,1,0,1,0,1
745,15.6,4,2.2,369.0,0,1,0,1,0,1,0,1
899,15.6,4,2.1,367.0,0,1,1,4,1,1,2,1
313,15.6,8,1.7,1049.9,3,1,3,4,4,2,2,3
1063,15.6,8,2.2,1119.91,3,1,2,2,2,2,3,3
193,15.6,8,2.3,1094.0,3,1,2,4,2,1,2,3
625,15.6,8,1.91,659.0,3,1,3,3,3,1,2,3
142,15.6,8,2.31,1427.0,3,1,3,10,5,1,4,3
243,11.6,8,1.4,495.0,0,0,0,0,0,1,0,0
1214,14.0,8,1.48,1268.0,3,1,2,6,4,1,2,3
1047,15.6,4,2.3,418.64,0,1,1,0,0,1,2,1
648,15.6,4,2.2,479.0,3,1,1,0,0,0,0,1
34,15.4,16,2.04,2139.97,9,3,3,0,8,1,8,0
804,14.0,4,1.54,1030.99,3,1,2,3,3,1,2,1
872,15.6,4,1.86,397.0,3,1,1,0,0,1,2,1
1297,15.6,8,1.88,1579.0,3,1,2,3,3,1,2,3
192,15.6,8,1.98,726.0,3,1,2,2,2,1,2,1
