id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Gpu Type,Resolution_disc,Family_disc,Clock_speed_disc,Modelo_procesador_disc,Gpu_Brand_disc,GPU_model_disc,storage_type_disc
268,Dell,Notebook,15.6,8,Windows 10,2.36,749.0,Dedicated,0,3,3,3,0,1,1
347,Asus,Notebook,15.6,4,Windows 10,2.0,449.0,Unknown,0,0,0,0,1,0,1
353,Toshiba,Notebook,13.3,8,Windows 7,1.2,1460.0,Unknown,2,2,2,2,1,2,3
578,Dell,Gaming,15.6,16,Windows 10,4.42,2868.99,Dedicated,6,3,4,4,2,7,3
42,Dell,Ultrabook,12.5,8,Windows 7,1.26,1713.37,Unknown,2,2,1,3,1,2,3
867,Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099.0,Dedicated,2,3,3,3,2,2,3
1136,Asus,Notebook,15.6,4,Linux,2.0,415.0,Unknown,2,1,0,0,1,2,3
609,MSI,Gaming,15.6,8,Windows 10,2.4,1142.8,Dedicated,2,3,4,4,2,2,3
474,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,Dedicated,2,3,3,3,2,1,3
838,Asus,Gaming,15.6,16,Windows 10,2.5,1600.0,Dedicated,2,3,4,4,2,3,3
851,Asus,Notebook,15.6,4,Windows 10,2.65,309.0,Unknown,0,0,1,0,1,0,1
904,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,Unknown,2,3,2,2,1,2,3
355,Toshiba,Notebook,15.6,8,Windows 10,2.2,1119.0,Unknown,0,2,2,2,1,2,3
44,HP,Notebook,15.6,6,Windows 10,1.95,649.0,Dedicated,2,1,0,1,0,1,3
36,Toshiba,Notebook,14.0,4,Windows 10,1.75,499.0,Unknown,0,0,0,0,1,0,3
971,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,Unknown,2,2,1,1,1,2,3
938,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,Unknown,2,1,1,0,1,2,3
718,Acer,Notebook,15.6,6,Windows 10,2.23,549.0,Unknown,0,2,1,1,1,2,1
518,Lenovo,Notebook,15.6,32,Windows 10,2.5,4899.0,Dedicated,6,4,5,7,2,7,3
1126,Acer,Notebook,17.3,8,Windows 10,3.0,854.0,Dedicated,2,2,1,1,2,2,3
51,Lenovo,2 in 1 Convertible,10.1,4,Windows 10,0.69,646.27,Unknown,0,0,0,0,1,0,0
772,HP,Notebook,17.3,6,Windows 10,2.71,655.01,Dedicated,2,2,1,1,0,1,1
1001,HP,Netbook,12.5,8,Windows 10,1.26,1389.0,Unknown,0,2,4,3,1,2,3
