id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Resolution,Pantalla,Brand,Family,Model,Clock Speed (GHz),Gpu Brand,Gpu Model,Gpu Type,Storage Type
268,Dell,Notebook,15.6,8,Windows 10,2.36,749.0,1366x768,Full HD,Intel,Core i7,7500U,2.7,AMD,Radeon R7 M445,Dedicated,HDD
347,Asus,Notebook,15.6,4,Windows 10,2.0,449.0,1366x768,Full HD,Intel,Pentium,Quad,1.1,Intel,HD Graphics 505,Unknown,HDD
353,Toshiba,Notebook,13.3,8,Windows 7,1.2,1460.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
578,Dell,Gaming,15.6,16,Windows 10,4.42,2868.99,3840x2160,4K Ultra HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
42,Dell,Ultrabook,12.5,8,Windows 7,1.26,1713.37,1920x1080,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD
867,Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce GT 940MX,Dedicated,SSD
1136,Asus,Notebook,15.6,4,Linux,2.0,415.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,SSD
609,MSI,Gaming,15.6,8,Windows 10,2.4,1142.8,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD
474,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD
838,Asus,Gaming,15.6,16,Windows 10,2.5,1600.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
851,Asus,Notebook,15.6,4,Windows 10,2.65,309.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics 405,Unknown,HDD
904,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD
355,Toshiba,Notebook,15.6,8,Windows 10,2.2,1119.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
44,HP,Notebook,15.6,6,Windows 10,1.95,649.0,1920x1080,Full HD,AMD,A9-Series,A9-9420,3.0,AMD,Radeon 530,Dedicated,SSD
36,Toshiba,Notebook,14.0,4,Windows 10,1.75,499.0,1366x768,Full HD,Intel,Pentium,Dual,2.1,Intel,HD Graphics 510,Unknown,SSD
971,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
938,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD
718,Acer,Notebook,15.6,6,Windows 10,2.23,549.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
518,Lenovo,Notebook,15.6,32,Windows 10,2.5,4899.0,3840x2160,4K Ultra HD,Intel,Xeon,E3-1535M,3.1,Nvidia,Quadro M2200M,Dedicated,SSD
1126,Acer,Notebook,17.3,8,Windows 10,3.0,854.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Nvidia,GeForce MX150,Dedicated,SSD
51,Lenovo,2 in 1 Convertible,10.1,4,Windows 10,0.69,646.27,1920x1200,Touchscreen,Intel,Atom,x5-Z8550,1.44,Intel,HD Graphics 400,Unknown,Flash Storage
772,HP,Notebook,17.3,6,Windows 10,2.71,655.01,1920x1080,Full HD,AMD,A10-Series,9620P,2.5,AMD,Radeon 530,Dedicated,HDD
1001,HP,Netbook,12.5,8,Windows 10,1.26,1389.0,1366x768,Full HD,Intel,Core i5,7300U,2.6,Intel,HD Graphics 620,Unknown,SSD
330,HP,Gaming,17.3,16,Windows 10,3.35,1379.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD
66,Dell,Workstation,15.6,8,Windows 10,1.78,2712.0,3840x2160,4K Ultra HD,Intel,Core i7,7700HQ,2.8,Nvidia,Quadro M1200,Dedicated,SSD
829,Asus,Notebook,15.6,4,Linux,2.0,389.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 620,Unknown,HDD
1129,Acer,Notebook,15.6,4,Windows 10,2.4,559.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
1197,Lenovo,Notebook,15.6,6,Windows 10,2.4,695.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce 920MX,Dedicated,SSD
171,Lenovo,Notebook,15.6,4,Windows 10,2.2,306.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,HDD
233,HP,Notebook,14.0,8,Windows 10,1.95,980.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
205,Dell,Notebook,15.6,8,Windows 10,2.13,728.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,AMD,Radeon 520,Dedicated,SSD
361,Asus,Gaming,15.6,8,Windows 10,2.5,1265.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
1250,Lenovo,Notebook,15.6,8,Windows 7,2.32,895.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,AMD,Radeon R5 M330,Dedicated,Hybrid
707,Dell,Notebook,15.6,4,Windows 10,2.18,614.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon R5 M420X,Dedicated,HDD
884,Acer,Notebook,15.6,4,Chrome OS,2.2,359.0,1920x1080,Full HD,Intel,Celeron,Dual,1.5,Intel,HD Graphics,Unknown,Flash Storage
1071,Lenovo,Notebook,15.6,6,Windows 10,2.2,597.57,1920x1080,Full HD,AMD,A12-Series,9720P,3.6,AMD,Radeon 530,Dedicated,SSD
95,Dell,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics,Unknown,HDD
745,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,HDD
899,Acer,Notebook,15.6,4,Linux,2.1,367.0,1366x768,Full HD,Intel,Core i3,7130U,2.7,Intel,HD Graphics 620,Unknown,HDD
313,Asus,Ultrabook,15.6,8,Windows 10,1.7,1049.9,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD
1063,MSI,Gaming,15.6,8,Windows 10,2.2,1119.91,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD
193,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.3,1094.0,1920x1080,Full HD,Intel,Core i5,7200U,2.7,Intel,HD Graphics 620,Unknown,SSD
625,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,HD Graphics 620,Unknown,SSD
142,HP,Notebook,15.6,8,Windows 10,2.31,1427.0,1920x1080,Full HD,Intel,Core i7,7820HQ,2.9,Intel,HD Graphics 630,Unknown,SSD
243,HP,2 in 1 Convertible,11.6,8,Chrome OS,1.4,495.0,1366x768,Touchscreen,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,Flash Storage
1214,HP,Notebook,14.0,8,Windows 10,1.48,1268.0,1920x1080,Full HD,Intel,Core i5,7300U,2.6,Intel,HD Graphics 620,Unknown,SSD
1047,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
648,Lenovo,Notebook,15.6,4,No OS,2.2,479.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon R5 M430,Dedicated,HDD
34,Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,2880x1800,Retina Display,Intel,Core i7,2.2GHz,2.2,Intel,Iris Pro Graphics,Unknown,Flash Storage
804,HP,Notebook,14.0,4,Windows 7,1.54,1030.99,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD
872,HP,Notebook,15.6,4,Windows 10,1.86,397.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
1297,HP,Notebook,15.6,8,Windows 7,1.88,1579.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
192,Dell,Notebook,15.6,8,Linux,1.98,726.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
451,HP,Notebook,15.6,4,Windows 10,2.1,347.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,HDD
894,Fujitsu,Notebook,15.6,4,Windows 10,2.3,649.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
961,Toshiba,Ultrabook,14.0,8,Windows 10,1.47,1725.0,1920x1080,Full HD,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD
1168,Lenovo,Ultrabook,14.0,4,Windows 10,1.7,1096.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
966,Lenovo,Notebook,15.6,8,Windows 10,2.3,1529.0,1920x1080,Full HD,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD
794,Mediacom,Notebook,14.0,2,Windows 10,1.4,239.0,1920x1080,Full HD,Intel,Atom,x5-Z8350,1.44,Intel,HD Graphics,Unknown,Flash Storage
763,Lenovo,Workstation,15.6,8,Windows 10,2.67,1925.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,Quadro M1200,Dedicated,SSD
946,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
1298,Acer,Notebook,15.6,4,Windows 10,2.2,469.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Nvidia,GeForce GTX 940MX,Dedicated,HDD
715,Asus,Notebook,14.0,4,Windows 10,1.5,278.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,Flash Storage
762,Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD
1101,MSI,Gaming,15.6,8,Windows 10,2.2,1089.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD
994,HP,Netbook,12.5,8,Windows 10,0.97,1908.0,1920x1080,Full HD,Intel,Core M,6Y75,1.2,Intel,HD Graphics 515,Unknown,SSD
528,Dell,Ultrabook,14.0,8,Linux,1.6,1099.0,1920x1080,Full HD,Intel,Core i7,7600U,2.8,Intel,HD Graphics 620,Unknown,SSD
926,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,1366x768,Full HD,Intel,Core i7,6500U,2.5,Nvidia,GeForce 920MX,Dedicated,HDD
791,HP,Notebook,15.6,4,No OS,1.86,345.99,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
351,Acer,Notebook,14.0,4,Chrome OS,1.68,349.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,Flash Storage
166,Dell,Notebook,15.6,8,Windows 7,2.09,1062.95,1920x1080,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD
1196,Acer,Notebook,15.6,4,Windows 10,2.1,348.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,HDD
1056,Dell,Notebook,15.6,8,Windows 10,2.33,844.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,AMD,Radeon 530,Dedicated,SSD
909,Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,3840x2160,4K Ultra HD,Intel,Core i7,7820HK,2.9,Nvidia,GeForce GTX 1080,Dedicated,SSD
1189,Lenovo,Notebook,15.6,4,Windows 10,2.2,349.0,1366x768,Full HD,AMD,E-Series,E2-9000,2.2,AMD,Radeon R2 Graphics,Dedicated,SSD
654,MSI,Gaming,17.3,16,Windows 10,3.78,2499.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
968,Lenovo,Notebook,15.6,4,Windows 10,2.2,535.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD
1027,HP,Ultrabook,12.5,8,Windows 7,1.26,2296.95,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
217,Lenovo,Netbook,11.6,4,Windows 10,1.4,475.0,1366x768,Touchscreen,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,SSD
1224,Lenovo,Ultrabook,12.5,8,Windows 10,1.36,1584.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
559,Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Nvidia,GeForce 150MX,Dedicated,SSD
136,Dell,Ultrabook,13.3,8,Windows 10,1.29,899.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
420,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,HDD
54,Toshiba,Ultrabook,13.3,32,Windows 10,1.05,2799.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
788,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,1366x768,Full HD,AMD,A9-Series,9420,3.0,AMD,Radeon R5,Dedicated,SSD
628,HP,Notebook,15.6,8,Windows 10,2.2,1099.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD
1215,Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD
396,Lenovo,Notebook,15.6,4,No OS,1.9,339.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
1083,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,HDD
20,HP,2 in 1 Convertible,13.3,8,Windows 10,1.28,2277.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
1263,HP,Notebook,13.3,16,Windows 10,1.49,1197.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD
258,Dell,Gaming,15.6,8,Linux,2.62,929.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050Ti,Dedicated,HDD
159,Dell,Notebook,15.6,4,Windows 10,2.18,558.6,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
572,Lenovo,Gaming,15.6,16,Windows 10,2.5,999.0,1920x1080,Full HD,AMD,FX,8800P,2.1,AMD,Radeon R9 M385,Dedicated,SSD
374,Toshiba,Notebook,15.6,8,Windows 10,2.0,860.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
25,HP,Ultrabook,12.5,8,Windows 7,1.26,1895.0,1366x768,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD
345,Lenovo,Gaming,15.6,4,Windows 10,2.4,999.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,HDD
827,Dell,Netbook,11.6,4,Windows 10,1.63,744.0,1366x768,Full HD,Intel,Pentium,Quad,1.1,Intel,HD Graphics 505,Unknown,SSD
661,HP,Notebook,15.6,8,Windows 10,2.04,889.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce 930MX,Dedicated,SSD
102,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,2025.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
185,Asus,Gaming,17.3,8,Windows 10,2.73,1770.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1060,Dedicated,SSD
69,Asus,Notebook,17.3,8,Windows 10,2.69,891.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce GTX 950M,Dedicated,SSD
327,MSI,Gaming,15.6,16,Windows 10,2.4,1799.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
439,Acer,Netbook,11.6,4,Chrome OS,1.25,297.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,Flash Storage
662,MSI,Gaming,17.3,16,Windows 10,4.14,2499.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
799,Asus,Notebook,15.6,4,Windows 10,2.2,575.0,1920x1080,Full HD,AMD,A10-Series,A10-9620P,2.5,AMD,Radeon R5 M430,Dedicated,SSD
555,HP,Notebook,15.6,4,Windows 10,2.1,722.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,HD Graphics 620,Unknown,HDD
40,Toshiba,Notebook,14.0,4,Windows 10,1.75,1020.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
1110,Lenovo,2 in 1 Convertible,13.3,16,Windows 10,1.3,1499.0,3200x1800,Quad HD+,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
998,HP,Ultrabook,14.0,8,Windows 10,1.36,1750.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
500,MSI,Gaming,17.3,8,Windows 10,2.9,1511.19,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 960M,Dedicated,SSD
734,Dell,Ultrabook,13.3,8,Windows 10,1.23,1869.0,3200x1800,Quad HD+,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
974,Lenovo,Notebook,14.0,8,Windows 10,1.7,1364.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
117,HP,2 in 1 Convertible,13.3,4,Windows 10,1.28,1799.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
392,HP,Notebook,15.6,4,Windows 10,2.04,769.99,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD
1060,Dell,Notebook,15.6,16,Windows 10,2.2,1219.24,1920x1080,Full HD,Intel,Core i7,8550U,1.8,AMD,Radeon 530,Dedicated,SSD
613,Asus,Notebook,15.6,8,Windows 10,2.37,1099.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
711,HP,Notebook,14.0,8,Windows 10,1.63,1084.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD
1245,Dell,Notebook,15.6,4,Windows 10,2.18,547.0,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD
639,Asus,Ultrabook,14.0,8,Windows 10,1.1,1873.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
9,Acer,Notebook,17.3,4,Windows 10,3.0,805.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Nvidia,GeForce MX150,Dedicated,SSD
1213,Lenovo,Notebook,15.6,4,No OS,1.9,450.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
535,Dell,Gaming,15.6,8,Windows 10,2.62,1159.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
155,Dell,Ultrabook,13.3,8,Linux,1.23,1099.0,3200x1800,Quad HD+,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD
1074,HP,Notebook,17.3,8,Windows 10,2.63,1280.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 930MX,Dedicated,HDD
472,Dell,2 in 1 Convertible,11.6,4,Windows 10,1.39,603.0,1366x768,Touchscreen,Intel,Core M,7Y30,1.0,Intel,HD Graphics 615,Unknown,SSD
47,Lenovo,Notebook,17.3,4,No OS,2.8,529.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
5,HP,Notebook,17.3,8,Windows 10,2.5,928.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
466,Asus,Notebook,15.6,4,Windows 10,2.0,435.0,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,HDD
712,HP,Notebook,14.0,8,Windows 10,1.63,812.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,HDD
212,Acer,Notebook,14.0,8,Windows 10,1.5,619.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD
1067,HP,Notebook,15.6,8,No OS,1.86,575.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
785,HP,Notebook,15.6,8,Windows 10,2.04,389.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics 405,Unknown,HDD
332,Dell,Notebook,15.6,8,Windows 10,1.95,810.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
1199,MSI,Gaming,15.6,16,Windows 10,2.94,2267.86,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
412,Dell,Notebook,15.6,8,Windows 10,2.0,1829.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD
200,HP,Ultrabook,14.0,8,Windows 10,1.43,1500.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
509,Toshiba,Notebook,15.6,8,Windows 10,2.0,943.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
411,MSI,Gaming,15.6,8,Windows 10,2.2,1149.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD
627,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1950.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
1088,Lenovo,Notebook,15.6,12,Windows 10,2.2,899.0,1920x1080,Full HD,AMD,A12-Series,9720P,3.6,AMD,Radeon 530,Dedicated,HDD
881,Dell,Notebook,15.6,4,Windows 10,1.95,729.9,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD
914,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.22,1899.0,3200x1800,Quad HD+,Intel,Core i7,7Y75,1.3,Intel,HD Graphics 615,Unknown,SSD
690,Toshiba,Notebook,15.6,8,Windows 10,2.0,793.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
111,HP,Notebook,15.6,8,Windows 10,1.9,1154.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,AMD,FirePro W4190M,Dedicated,HDD
26,HP,Notebook,15.6,8,Windows 10,2.04,979.0,1920x1080,Full HD,Intel,Core i5,7200U,2.7,Nvidia,GeForce 930MX,Dedicated,SSD
375,Dell,Gaming,17.3,16,Windows 10,4.42,2699.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
289,HP,Notebook,15.6,12,Windows 10,2.21,1327.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD
