iter	RMSE
0	701.1346995
1	683.4560637
2	667.2598978
3	650.3753176
4	633.2905903
5	619.5089115
6	604.9950633
7	590.5031645
8	576.495193
9	563.6038971
10	551.4808245
11	539.7065196
12	527.6639727
13	516.7728668
14	505.7874758
15	496.6642329
16	486.7979498
17	477.5555561
18	468.5386648
19	459.9384501
20	452.2369868
21	445.2586609
22	438.6037916
23	430.7661229
24	423.6766969
25	418.0257825
26	411.0693939
27	404.853003
28	398.4154839
29	391.9532809
30	385.9123204
31	380.6463328
32	375.0540266
33	369.836407
34	364.9950346
35	359.9324929
36	355.2711211
37	351.0343121
38	346.826487
39	342.938834
40	338.9245613
41	335.4074458
42	331.8579803
43	328.3684061
44	325.4094136
45	322.5078737
46	319.3485033
47	316.5034146
48	313.8241964
49	310.9921744
50	307.895818
51	305.4032824
52	302.7744347
53	300.4735605
54	298.0456454
55	295.6427711
56	293.9470864
57	291.4831829
58	289.5860083
59	287.5199968
60	285.3690111
61	283.7127585
62	282.0013538
63	280.5270811
64	278.6596021
65	276.932128
66	275.0258487
67	273.5505966
68	271.9484179
69	270.2031208
70	268.520802
71	267.428442
72	265.9651642
73	264.3181091
74	262.8036607
75	261.0723622
76	259.8686674
77	258.5747285
78	257.467633
79	256.4670122
80	255.3203827
81	254.1315703
82	253.0227743
83	251.854113
84	250.9506814
85	250.2342325
86	249.2166871
87	248.3388097
88	247.3755082
89	246.7109125
90	245.5712281
91	244.8107207
92	244.0820142
93	243.2804198
94	242.4484157
95	241.4523746
96	240.3789295
97	239.6484502
98	239.1489387
99	238.511698
100	237.7452933
101	237.1872873
102	236.6654282
103	236.0339188
104	235.3416091
105	234.6523285
106	234.0379762
107	233.5026269
108	232.9852853
109	232.5820908
110	231.8221921
111	231.2064117
112	230.4497836
113	229.7445763
114	229.2876588
115	228.8761533
116	228.4223213
117	227.789061
118	227.3188361
119	226.8686142
120	226.4293448
121	225.9274746
122	225.3072896
123	224.8424995
124	224.3748275
125	223.6498673
126	223.2413028
127	222.8594341
128	222.5128929
129	222.0009565
130	221.566577
131	221.2464414
132	220.7946561
133	220.4411851
134	219.8310676
135	219.6391406
136	219.2202865
137	218.8077264
138	218.4809501
139	218.1994597
140	217.3829329
141	216.9548761
142	216.6714518
143	216.3248989
144	215.8766745
145	215.6436558
146	215.1019337
147	214.8311555
148	214.4221911
149	213.7588416
150	213.5208682
151	213.3715564
152	212.7385138
153	212.611055
154	212.1720492
155	211.9643163
156	211.8495838
157	211.2306097
158	210.9553076
159	210.6961676
160	210.36427
161	209.9286015
162	209.6208117
163	209.2203649
164	209.1193721
165	208.8190015
166	208.6187438
167	208.112304
168	207.7242706
169	207.1200357
170	206.8296069
171	206.5469478
172	206.0815583
173	205.8039843
174	205.5971269
175	205.2329636
176	205.0771944
177	204.8815932
178	204.4488729
179	203.8716746
180	203.579248
181	203.1964555
182	202.8959727
183	202.5100616
184	202.3409981
185	201.9636023
186	201.5217067
187	201.2570133
188	200.9611451
189	200.7076596
190	200.3233866
191	199.9119122
192	199.6482631
193	199.3156608
194	199.0111516
195	198.6195518
196	198.4486302
197	197.9443832
198	197.7987664
199	197.5894327
200	197.2492308
201	197.0471898
202	196.7016189
203	196.4997117
204	196.064472
205	195.8751348
206	195.7178874
207	195.3300462
208	195.1036629
209	194.9368943
210	194.6752833
211	194.3744577
212	194.1946279
213	194.0427363
214	193.859651
215	193.5936391
216	193.1680051
217	192.7927562
218	192.5472165
219	192.190913
220	191.8461499
221	191.7060194
