id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Resolution_disc,Pantalla_disc,Family_disc,Clock_speed_disc,Modelo_procesador_disc,Gpu Type,Gpu_Brand_disc,GPU_model_disc,storage_type_disc
268,Dell,Notebook,15.6,8,Windows 10,2.36,749.0,0,1,3,4,4,Dedicated,0,2,1
347,Asus,Notebook,15.6,4,Windows 10,2.0,449.0,0,1,0,0,0,Unknown,1,0,1
353,Toshiba,Notebook,13.3,8,Windows 7,1.2,1460.0,3,1,2,3,3,Unknown,1,2,3
578,Dell,Gaming,15.6,16,Windows 10,4.42,2868.99,9,4,3,6,6,Dedicated,2,10,3
42,Dell,Ultrabook,12.5,8,Windows 7,1.26,1713.37,3,1,2,1,4,Unknown,1,2,3
867,Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099.0,3,1,3,4,4,Dedicated,2,3,3
1136,Asus,Notebook,15.6,4,Linux,2.0,415.0,3,1,1,0,0,Unknown,1,2,3
609,MSI,Gaming,15.6,8,Windows 10,2.4,1142.8,3,1,3,6,6,Dedicated,2,3,3
474,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,3,1,3,4,4,Dedicated,2,2,3
838,Asus,Gaming,15.6,16,Windows 10,2.5,1600.0,3,1,3,6,6,Dedicated,2,4,3
851,Asus,Notebook,15.6,4,Windows 10,2.65,309.0,0,1,0,1,0,Unknown,1,0,1
904,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,3,1,3,3,3,Unknown,1,2,3
355,Toshiba,Notebook,15.6,8,Windows 10,2.2,1119.0,0,1,2,3,3,Unknown,1,2,3
44,HP,Notebook,15.6,6,Windows 10,1.95,649.0,3,1,1,0,1,Dedicated,0,1,3
36,Toshiba,Notebook,14.0,4,Windows 10,1.75,499.0,0,1,0,0,0,Unknown,1,0,3
971,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,3,1,2,1,2,Unknown,1,2,3
938,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,3,1,1,1,0,Unknown,1,2,3
718,Acer,Notebook,15.6,6,Windows 10,2.23,549.0,0,1,2,2,2,Unknown,1,2,1
518,Lenovo,Notebook,15.6,32,Windows 10,2.5,4899.0,9,4,4,8,12,Dedicated,2,12,3
1126,Acer,Notebook,17.3,8,Windows 10,3.0,854.0,3,1,2,1,2,Dedicated,2,2,3
51,Lenovo,2 in 1 Convertible,10.1,4,Windows 10,0.69,646.27,0,0,0,0,0,Unknown,1,0,0
772,HP,Notebook,17.3,6,Windows 10,2.71,655.01,3,1,2,2,1,Dedicated,0,1,1
1001,HP,Netbook,12.5,8,Windows 10,1.26,1389.0,0,1,2,6,4,Unknown,1,2,3
330,HP,Gaming,17.3,16,Windows 10,3.35,1379.0,3,1,3,6,6,Dedicated,2,3,3
66,Dell,Workstation,15.6,8,Windows 10,1.78,2712.0,9,4,3,6,6,Dedicated,2,8,3
829,Asus,Notebook,15.6,4,Linux,2.0,389.0,3,1,1,0,0,Unknown,1,2,1
1129,Acer,Notebook,15.6,4,Windows 10,2.4,559.0,0,1,2,2,2,Unknown,1,2,1
1197,Lenovo,Notebook,15.6,6,Windows 10,2.4,695.0,3,1,2,2,2,Dedicated,2,1,3
171,Lenovo,Notebook,15.6,4,Windows 10,2.2,306.0,0,1,0,0,0,Unknown,1,0,1
233,HP,Notebook,14.0,8,Windows 10,1.95,980.0,3,1,2,2,2,Unknown,1,2,3
205,Dell,Notebook,15.6,8,Windows 10,2.13,728.0,3,1,2,1,2,Dedicated,0,1,3
361,Asus,Gaming,15.6,8,Windows 10,2.5,1265.0,3,1,3,6,6,Dedicated,2,4,3
1250,Lenovo,Notebook,15.6,8,Windows 7,2.32,895.0,3,1,3,2,4,Dedicated,0,1,2
707,Dell,Notebook,15.6,4,Windows 10,2.18,614.0,0,1,1,0,0,Dedicated,0,0,1
884,Acer,Notebook,15.6,4,Chrome OS,2.2,359.0,3,1,0,0,0,Unknown,1,0,0
1071,Lenovo,Notebook,15.6,6,Windows 10,2.2,597.57,3,1,2,0,0,Dedicated,0,1,3
95,Dell,Notebook,15.6,4,Windows 10,2.2,369.0,0,1,0,1,0,Unknown,1,0,1
745,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,0,1,0,1,0,Unknown,1,0,1
899,Acer,Notebook,15.6,4,Linux,2.1,367.0,0,1,1,4,1,Unknown,1,2,1
313,Asus,Ultrabook,15.6,8,Windows 10,1.7,1049.9,3,1,3,4,4,Dedicated,2,2,3
1063,MSI,Gaming,15.6,8,Windows 10,2.2,1119.91,3,1,2,2,2,Dedicated,2,3,3
193,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.3,1094.0,3,1,2,4,2,Unknown,1,2,3
625,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,3,1,3,3,3,Unknown,1,2,3
142,HP,Notebook,15.6,8,Windows 10,2.31,1427.0,3,1,3,10,5,Unknown,1,4,3
243,HP,2 in 1 Convertible,11.6,8,Chrome OS,1.4,495.0,0,0,0,0,0,Unknown,1,0,0
1214,HP,Notebook,14.0,8,Windows 10,1.48,1268.0,3,1,2,6,4,Unknown,1,2,3
1047,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,0,1,1,0,0,Unknown,1,2,1
648,Lenovo,Notebook,15.6,4,No OS,2.2,479.0,3,1,1,0,0,Dedicated,0,0,1
34,Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,9,3,3,0,8,Unknown,1,8,0
804,HP,Notebook,14.0,4,Windows 7,1.54,1030.99,3,1,2,3,3,Unknown,1,2,1
872,HP,Notebook,15.6,4,Windows 10,1.86,397.0,3,1,1,0,0,Unknown,1,2,1
1297,HP,Notebook,15.6,8,Windows 7,1.88,1579.0,3,1,2,3,3,Unknown,1,2,3
192,Dell,Notebook,15.6,8,Linux,1.98,726.0,3,1,2,2,2,Unknown,1,2,1
451,HP,Notebook,15.6,4,Windows 10,2.1,347.0,0,1,0,1,0,Unknown,1,0,1
894,Fujitsu,Notebook,15.6,4,Windows 10,2.3,649.0,0,1,2,3,3,Unknown,1,2,3
961,Toshiba,Ultrabook,14.0,8,Windows 10,1.47,1725.0,3,1,3,6,7,Unknown,1,2,3
1168,Lenovo,Ultrabook,14.0,4,Windows 10,1.7,1096.0,3,1,2,3,3,Unknown,1,2,3
966,Lenovo,Notebook,15.6,8,Windows 10,2.3,1529.0,3,1,3,6,7,Unknown,1,2,3
794,Mediacom,Notebook,14.0,2,Windows 10,1.4,239.0,3,1,0,0,0,Unknown,1,0,0
763,Lenovo,Workstation,15.6,8,Windows 10,2.67,1925.0,3,1,3,6,6,Dedicated,2,8,3
946,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,3,1,1,0,0,Unknown,1,2,1
1298,Acer,Notebook,15.6,4,Windows 10,2.2,469.0,0,1,1,0,0,Dedicated,2,0,1
715,Asus,Notebook,14.0,4,Windows 10,1.5,278.0,0,1,0,0,0,Unknown,1,0,0
762,Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,3,1,3,3,3,Unknown,1,2,3
1101,MSI,Gaming,15.6,8,Windows 10,2.2,1089.0,3,1,2,2,2,Dedicated,2,3,3
994,HP,Netbook,12.5,8,Windows 10,0.97,1908.0,3,1,3,4,7,Unknown,1,4,3
528,Dell,Ultrabook,14.0,8,Linux,1.6,1099.0,3,1,3,6,6,Unknown,1,2,3
926,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,0,1,3,2,4,Dedicated,2,1,1
791,HP,Notebook,15.6,4,No OS,1.86,345.99,0,1,1,0,0,Unknown,1,2,1
351,Acer,Notebook,14.0,4,Chrome OS,1.68,349.0,0,1,0,1,0,Unknown,1,0,0
166,Dell,Notebook,15.6,8,Windows 7,2.09,1062.95,3,1,2,1,4,Unknown,1,2,3
1196,Acer,Notebook,15.6,4,Windows 10,2.1,348.0,0,1,0,0,0,Unknown,1,0,1
1056,Dell,Notebook,15.6,8,Windows 10,2.33,844.0,3,1,2,1,2,Dedicated,0,1,3
909,Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,9,4,3,10,10,Dedicated,2,12,3
1189,Lenovo,Notebook,15.6,4,Windows 10,2.2,349.0,0,1,0,0,0,Dedicated,0,0,3
654,MSI,Gaming,17.3,16,Windows 10,3.78,2499.0,3,1,3,6,6,Dedicated,2,10,3
968,Lenovo,Notebook,15.6,4,Windows 10,2.2,535.0,3,1,2,3,3,Unknown,1,2,1
1027,HP,Ultrabook,12.5,8,Windows 7,1.26,2296.95,3,1,3,2,4,Unknown,1,2,3
217,Lenovo,Netbook,11.6,4,Windows 10,1.4,475.0,0,0,0,1,0,Unknown,1,0,3
1224,Lenovo,Ultrabook,12.5,8,Windows 10,1.36,1584.0,3,1,3,4,4,Unknown,1,2,3
559,Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,3,1,3,3,3,Dedicated,2,4,3
136,Dell,Ultrabook,13.3,8,Windows 10,1.29,899.0,3,1,2,2,2,Unknown,1,2,3
420,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,3,1,3,3,3,Unknown,1,2,1
54,Toshiba,Ultrabook,13.3,32,Windows 10,1.05,2799.0,3,1,3,4,4,Unknown,1,2,3
788,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,0,1,1,0,0,Dedicated,0,0,3
628,HP,Notebook,15.6,8,Windows 10,2.2,1099.0,3,1,2,2,2,Dedicated,2,3,3
1215,Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,3,1,3,3,3,Unknown,1,2,3
396,Lenovo,Notebook,15.6,4,No OS,1.9,339.0,0,1,1,0,0,Unknown,1,2,1
1083,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,0,1,0,1,0,Unknown,1,0,1
