iter	Passed	Remaining
0	10	1008
1	14	687
2	21	683
3	24	580
4	27	519
5	30	473
6	38	512
7	43	496
8	52	527
9	55	498
10	58	471
11	60	446
12	63	423
13	69	428
14	73	417
15	80	420
16	82	405
17	85	388
18	87	375
19	95	383
20	100	377
21	103	366
22	106	357
23	113	360
24	116	348
25	117	335
26	120	324
27	123	317
28	130	320
29	136	317
30	144	322
31	148	315
32	150	306
33	157	304
34	160	298
35	163	291
36	165	282
37	168	274
38	172	270
39	173	260
40	176	254
41	181	250
42	186	246
43	188	239
44	192	234
45	194	228
46	199	225
47	202	218
48	204	212
49	205	205
50	207	199
51	210	194
52	214	190
53	217	185
54	221	180
55	223	175
56	225	170
57	230	167
58	233	162
59	235	157
60	237	151
61	239	146
62	242	142
63	245	137
64	247	133
65	250	129
66	252	124
67	254	119
68	256	115
69	260	111
70	262	107
71	264	102
72	266	98
73	268	94
74	271	90
75	276	87
76	278	83
77	280	79
78	283	75
79	285	71
80	288	67
81	291	64
82	294	60
83	296	56
84	298	52
85	300	48
86	303	45
87	306	41
88	308	38
89	311	34
90	313	30
91	315	27
92	318	23
93	321	20
94	323	17
95	325	13
96	327	10
97	329	6
98	334	3
99	336	0
