id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Resolution,Pantalla,Brand,Family,Model,Clock Speed (GHz),Gpu Brand,Gpu Model,Gpu Type,Storage Type,Componentes_principales
268,Dell,Notebook,15.6,8,Windows 10,2.36,749.0,1366x768,Full HD,Intel,Core i7,7500U,2.7,AMD,Radeon R7 M445,Dedicated,HDD,2.995732273553991
347,Asus,Notebook,15.6,4,Windows 10,2.0,449.0,1366x768,Full HD,Intel,Pentium,Quad,1.1,Intel,HD Graphics 505,Unknown,HDD,1.791759469228055
353,Toshiba,Notebook,13.3,8,Windows 7,1.2,1460.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD,2.995732273553991
578,Dell,Gaming,15.6,16,Windows 10,4.42,2868.99,3840x2160,4K Ultra HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD,3.7376696182833684
42,Dell,Ultrabook,12.5,8,Windows 7,1.26,1713.37,1920x1080,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD,2.9444389791664403
867,Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce GT 940MX,Dedicated,SSD,3.295836866004329
1136,Asus,Notebook,15.6,4,Linux,2.0,415.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,SSD,2.302585092994046
609,MSI,Gaming,15.6,8,Windows 10,2.4,1142.8,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD,3.295836866004329
474,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD,3.091042453358316
838,Asus,Gaming,15.6,16,Windows 10,2.5,1600.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD,3.58351893845611
851,Asus,Notebook,15.6,4,Windows 10,2.65,309.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics 405,Unknown,HDD,1.9459101490553132
904,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD,2.995732273553991
355,Toshiba,Notebook,15.6,8,Windows 10,2.2,1119.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD,2.995732273553991
44,HP,Notebook,15.6,6,Windows 10,1.95,649.0,1920x1080,Full HD,AMD,A9-Series,A9-9420,3.0,AMD,Radeon 530,Dedicated,SSD,2.4849066497880004
36,Toshiba,Notebook,14.0,4,Windows 10,1.75,499.0,1366x768,Full HD,Intel,Pentium,Dual,2.1,Intel,HD Graphics 510,Unknown,SSD,2.0794415416798357
971,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD,2.833213344056216
938,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD,2.3978952727983707
718,Acer,Notebook,15.6,6,Windows 10,2.23,549.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD,2.6390573296152584
518,Lenovo,Notebook,15.6,32,Windows 10,2.5,4899.0,3840x2160,4K Ultra HD,Intel,Xeon,E3-1535M,3.1,Nvidia,Quadro M2200M,Dedicated,SSD,4.219507705176107
1126,Acer,Notebook,17.3,8,Windows 10,3.0,854.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Nvidia,GeForce MX150,Dedicated,SSD,2.833213344056216
51,Lenovo,2 in 1 Convertible,10.1,4,Windows 10,0.69,646.27,1920x1200,Touchscreen,Intel,Atom,x5-Z8550,1.44,Intel,HD Graphics 400,Unknown,Flash Storage,1.6094379124341003
772,HP,Notebook,17.3,6,Windows 10,2.71,655.01,1920x1080,Full HD,AMD,A10-Series,9620P,2.5,AMD,Radeon 530,Dedicated,HDD,2.4849066497880004
1001,HP,Netbook,12.5,8,Windows 10,1.26,1389.0,1366x768,Full HD,Intel,Core i5,7300U,2.6,Intel,HD Graphics 620,Unknown,SSD,3.1780538303479458
330,HP,Gaming,17.3,16,Windows 10,3.35,1379.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD,3.5553480614894135
66,Dell,Workstation,15.6,8,Windows 10,1.78,2712.0,3840x2160,4K Ultra HD,Intel,Core i7,7700HQ,2.8,Nvidia,Quadro M1200,Dedicated,SSD,3.4657359027997265
829,Asus,Notebook,15.6,4,Linux,2.0,389.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 620,Unknown,HDD,2.0794415416798357
1129,Acer,Notebook,15.6,4,Windows 10,2.4,559.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD,2.4849066497880004
1197,Lenovo,Notebook,15.6,6,Windows 10,2.4,695.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce 920MX,Dedicated,SSD,2.70805020110221
171,Lenovo,Notebook,15.6,4,Windows 10,2.2,306.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,HDD,1.791759469228055
233,HP,Notebook,14.0,8,Windows 10,1.95,980.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
205,Dell,Notebook,15.6,8,Windows 10,2.13,728.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,AMD,Radeon 520,Dedicated,SSD,2.772588722239781
361,Asus,Gaming,15.6,8,Windows 10,2.5,1265.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD,3.332204510175204
1250,Lenovo,Notebook,15.6,8,Windows 7,2.32,895.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,AMD,Radeon R5 M330,Dedicated,Hybrid,2.8903717578961645
707,Dell,Notebook,15.6,4,Windows 10,2.18,614.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon R5 M420X,Dedicated,HDD,1.791759469228055
884,Acer,Notebook,15.6,4,Chrome OS,2.2,359.0,1920x1080,Full HD,Intel,Celeron,Dual,1.5,Intel,HD Graphics,Unknown,Flash Storage,1.6094379124341003
1071,Lenovo,Notebook,15.6,6,Windows 10,2.2,597.57,1920x1080,Full HD,AMD,A12-Series,9720P,3.6,AMD,Radeon 530,Dedicated,SSD,2.3978952727983707
95,Dell,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics,Unknown,HDD,1.9459101490553132
745,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,HDD,1.9459101490553132
899,Acer,Notebook,15.6,4,Linux,2.1,367.0,1366x768,Full HD,Intel,Core i3,7130U,2.7,Intel,HD Graphics 620,Unknown,HDD,2.5649493574615367
313,Asus,Ultrabook,15.6,8,Windows 10,1.7,1049.9,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD,3.091042453358316
1063,MSI,Gaming,15.6,8,Windows 10,2.2,1119.91,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD,2.9444389791664403
193,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.3,1094.0,1920x1080,Full HD,Intel,Core i5,7200U,2.7,Intel,HD Graphics 620,Unknown,SSD,2.995732273553991
625,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,HD Graphics 620,Unknown,SSD,2.995732273553991
142,HP,Notebook,15.6,8,Windows 10,2.31,1427.0,1920x1080,Full HD,Intel,Core i7,7820HQ,2.9,Intel,HD Graphics 630,Unknown,SSD,3.4339872044851463
243,HP,2 in 1 Convertible,11.6,8,Chrome OS,1.4,495.0,1366x768,Touchscreen,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,Flash Storage,2.1972245773362196
